00001 Admin                A 00500.00 0000
00000 END_OF_FILE          A 00000.00 0000
01234 Kobi                 A 04300.00 0000
00000 END_OF_FILE          A 00000.00 0000
12345 Kobz                 A 00300.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
10001 TestUser             D 01000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
10002 DisabledUser         D 02000.00 0000
00000 END_OF_FILE          A 00000.00 0000
00000 END_OF_FILE          A 00000.00 0000
